"Title","Price (£)","Star Rating","Category","Availability","price_category","in_stock"
"A Light in the Attic","51.77","3","Poetry","In stock","Premium","True"
"Tipping the Velvet","53.74","1","Historical Fiction","In stock","Premium","True"
"Soumission","50.1","1","Fiction","In stock","Premium","True"
"Sharp Objects","47.82","4","Mystery","In stock","Premium","True"
"Sapiens: A Brief History of Humankind","54.23","5","History","In stock","Premium","True"
"The Requiem Red","22.65","1","Young Adult","In stock","Mid-range","True"
"The Dirty Little Secrets of Getting Your Dream Job","33.34","4","Business","In stock","Mid-range","True"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","17.93","3","Default","In stock","Budget","True"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","22.6","4","Default","In stock","Mid-range","True"
"The Black Maria","52.15","1","Poetry","In stock","Premium","True"
"Starving Hearts (Triangular Trade Trilogy, #1)","13.99","2","Default","In stock","Budget","True"
"Shakespeare's Sonnets","20.66","4","Poetry","In stock","Mid-range","True"
"Set Me Free","17.46","5","Young Adult","In stock","Budget","True"
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","52.29","5","Sequential Art","In stock","Premium","True"
"Rip it Up and Start Again","35.02","5","Music","In stock","Mid-range","True"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","57.25","3","Music","In stock","Premium","True"
"Olio","23.88","1","Poetry","In stock","Mid-range","True"
"Mesaerion: The Best Science Fiction Stories 1800-1849","37.59","1","Science Fiction","In stock","Mid-range","True"
"Libertarianism for Beginners","51.33","2","Politics","In stock","Premium","True"
"It's Only the Himalayas","45.17","2","Travel","In stock","Premium","True"
"In Her Wake","12.84","1","Thriller","In stock","Budget","True"
"How Music Works","37.32","2","Music","In stock","Mid-range","True"
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","30.52","3","Food and Drink","In stock","Mid-range","True"
"Chase Me (Paris Nights #2)","25.27","5","Romance","In stock","Mid-range","True"
"Black Dust","34.53","5","Romance","In stock","Mid-range","True"
"Birdsong: A Story in Pictures","54.64","3","Childrens","In stock","Premium","True"
"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana","22.5","3","Default","In stock","Mid-range","True"
"Aladdin and His Wonderful Lamp","53.13","3","Default","In stock","Premium","True"
"Worlds Elsewhere: Journeys Around Shakespeareâs Globe","40.3","5","Nonfiction","In stock","Premium","True"
"Wall and Piece","44.18","4","Art","In stock","Premium","True"
"The Four Agreements: A Practical Guide to Personal Freedom","17.66","5","Spirituality","In stock","Budget","True"
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","31.05","3","Nonfiction","In stock","Mid-range","True"
"The Elephant Tree","23.82","5","Thriller","In stock","Mid-range","True"
"The Bear and the Piano","36.89","1","Childrens","In stock","Mid-range","True"
"Sophie's World","15.94","5","Philosophy","In stock","Budget","True"
"Penny Maybe","33.29","3","Default","In stock","Mid-range","True"
"Maude (1883-1993):She Grew Up with the country","18.02","2","Default","In stock","Budget","True"
"In a Dark, Dark Wood","19.63","1","Mystery","In stock","Budget","True"
"Behind Closed Doors","52.22","4","Thriller","In stock","Premium","True"
"You can't bury them all: Poems","33.63","2","Poetry","In stock","Mid-range","True"
"Slow States of Collapse: Poems","57.31","3","Poetry","In stock","Premium","True"
"Reasons to Stay Alive","26.41","2","Nonfiction","In stock","Mid-range","True"
"Private Paris (Private #10)","47.61","5","Fiction","In stock","Premium","True"
"#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.","23.11","5","Nonfiction","In stock","Mid-range","True"
"Without Borders (Wanderlove #1)","45.07","2","New Adult","In stock","Premium","True"
"When We Collided","31.77","1","Contemporary","In stock","Mid-range","True"
"We Love You, Charlie Freeman","50.27","5","Fiction","In stock","Premium","True"
"Untitled Collection: Sabbath Poems 2014","14.27","4","Poetry","In stock","Budget","True"
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","44.18","4","Nonfiction","In stock","Premium","True"
"Unicorn Tracks","18.78","3","Fantasy","In stock","Budget","True"
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","25.52","1","History","In stock","Mid-range","True"
"Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)","16.28","1","Sequential Art","In stock","Budget","True"
"Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity","31.12","3","Nonfiction","In stock","Mid-range","True"
"This One Summer","19.49","4","Sequential Art","In stock","Budget","True"
"Thirst","17.27","5","Fiction","In stock","Budget","True"
"The Torch Is Passed: A Harding Family Story","19.09","1","Add a comment","In stock","Budget","True"
"The Secret of Dreadwillow Carse","56.13","1","Childrens","In stock","Premium","True"
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","56.41","1","Food and Drink","In stock","Premium","True"
"The Past Never Ends","56.5","4","Mystery","In stock","Premium","True"
"The Natural History of Us (The Fine Art of Pretending #2)","45.22","3","Young Adult","In stock","Premium","True"
"The Nameless City (The Nameless City #1)","38.16","4","Sequential Art","In stock","Mid-range","True"
"The Murder That Never Was (Forensic Instincts #5)","54.11","3","Fiction","In stock","Premium","True"
"The Most Perfect Thing: Inside (and Outside) a Bird's Egg","42.96","4","Science","In stock","Premium","True"
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","23.89","4","Add a comment","In stock","Mid-range","True"
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","16.77","3","Nonfiction","In stock","Budget","True"
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer","20.59","5","Default","In stock","Mid-range","True"
"The Gutsy Girl: Escapades for Your Life of Epic Adventure","37.13","1","Nonfiction","In stock","Mid-range","True"
"The Electric Pencil: Drawings from Inside State Hospital No. 3","56.06","1","Nonfiction","In stock","Premium","True"
"The Death of Humanity: and the Case for Life","58.11","4","Philosophy","In stock","Premium","True"
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life","49.05","3","Health","In stock","Premium","True"
"The Art Forger","40.76","3","Add a comment","In stock","Premium","True"
"The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind","19.73","1","History","In stock","Budget","True"
"The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution","32.24","5","Spirituality","In stock","Mid-range","True"
"Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up","41.83","4","Nonfiction","In stock","Premium","True"
"Soul Reader","39.58","2","Default","In stock","Mid-range","True"
"Security","39.25","2","Horror","In stock","Mid-range","True"
"Saga, Volume 6 (Saga (Collected Editions) #6)","25.02","3","Fantasy","In stock","Mid-range","True"
"Saga, Volume 5 (Saga (Collected Editions) #5)","51.04","2","Sequential Art","In stock","Premium","True"
"Reskilling America: Learning to Labor in the Twenty-First Century","19.83","2","Nonfiction","In stock","Budget","True"
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","50.4","3","Sequential Art","In stock","Premium","True"
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)","13.61","5","Sequential Art","In stock","Budget","True"
"Princess Between Worlds (Wide-Awake Princess #5)","13.34","5","Fantasy","In stock","Budget","True"
"Pop Gun War, Volume 1: Gift","18.97","1","Sequential Art","In stock","Budget","True"
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics","36.28","2","History","In stock","Mid-range","True"
"Patience","10.16","3","Sequential Art","In stock","Budget","True"
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)","15.44","4","Sequential Art","In stock","Budget","True"
"orange: The Complete Collection 1 (orange: The Complete Collection #1)","48.41","1","Sequential Art","In stock","Premium","True"
"Online Marketing for Busy Authors: A Step-By-Step Guide","46.35","1","Self Help","In stock","Premium","True"
"On a Midnight Clear","14.07","3","Add a comment","In stock","Budget","True"
"Obsidian (Lux #1)","14.86","2","Young Adult","In stock","Budget","True"
"My Paris Kitchen: Recipes and Stories","33.37","2","Food and Drink","In stock","Mid-range","True"
"Masks and Shadows","56.4","2","Fantasy","In stock","Premium","True"
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed","14.02","4","Food and Drink","In stock","Budget","True"
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","46.91","2","Sequential Art","In stock","Premium","True"
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","45.61","3","Sequential Art","In stock","Premium","True"
"Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)","19.92","2","Sequential Art","In stock","Budget","True"
"Layered: Baking, Building, and Styling Spectacular Cakes","40.11","1","Food and Drink","In stock","Premium","True"
"Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)","53.9","2","Add a comment","In stock","Premium","True"
"Join","35.67","5","Science Fiction","In stock","Mid-range","True"
"In the Country We Love: My Family Divided","22.0","4","Nonfiction","In stock","Mid-range","True"
